126819	chr1	1057480	1057830	1186502	1186718	241	0.0	GM12878	hg19	22	1057480	1057830	214.25433	1057654
126819	chr1	1057480	1057830	1186502	1186718	241	0.0	GM12878	hg19	27	1186502	1186718	25.64604	1186610
127208	chr1	1710374	1710724	1837743	1837963	154	0.0	GM12878	hg19	62	1710374	1710724	60.039272	1710552
127208	chr1	1710374	1710724	1837743	1837963	154	0.0	GM12878	hg19	70	1837743	1837963	267.9673	1837858
127438	chr1	2126689	2126891	2313266	2313459	506	0.0	GM12878	hg19	85	2126689	2126891	214.9367	2126797
127438	chr1	2126689	2126891	2313266	2313459	506	0.0	GM12878	hg19	92	2313266	2313459	224.70772	2313368
127573	chr1	2345907	2346079	3341262	3341612	54	0.0	GM12878	hg19	94	2345907	2346079	204.3365	2345994
127572	chr1	2345907	2346079	2470797	2471147	115	1.0E-6	GM12878	hg19	94	2345907	2346079	204.3365	2345994
127572	chr1	2345907	2346079	2470797	2471147	115	1.0E-6	GM12878	hg19	101	2470797	2471147	36.657703	2470962
127573	chr1	2345907	2346079	3341262	3341612	54	0.0	GM12878	hg19	125	3341262	3341612	190.89403	3341441
127857	chr1	3369697	3370047	3535665	3535830	231	0.0	GM12878	hg19	127	3369697	3370047	211.51851	3369866
127857	chr1	3369697	3370047	3535665	3535830	231	0.0	GM12878	hg19	135	3535665	3535830	176.5577	3535759
128354	chr1	6306761	6307111	6464825	6464978	131	0.0	GM12878	hg19	198	6306761	6307111	205.2742	6306948
128353	chr1	6306761	6307111	6403572	6403764	168	0.0	GM12878	hg19	198	6306761	6307111	205.2742	6306948
128353	chr1	6306761	6307111	6403572	6403764	168	0.0	GM12878	hg19	201	6403572	6403764	217.11592	6403676
128364	chr1	6408009	6408359	6464825	6464978	280	0.0	GM12878	hg19	202	6408009	6408359	172.63855	6408179
128364	chr1	6408009	6408359	6464825	6464978	280	0.0	GM12878	hg19	209	6464825	6464978	178.96803	6464912
128354	chr1	6306761	6307111	6464825	6464978	131	0.0	GM12878	hg19	209	6464825	6464978	178.96803	6464912
128390	chr1	6546597	6546815	6706585	6706935	319	0.0	GM12878	hg19	220	6546597	6546815	223.68857	6546705
128390	chr1	6546597	6546815	6706585	6706935	319	0.0	GM12878	hg19	228	6706585	6706935	100.02119	6706755
128442	chr1	6780134	6780350	7707393	7707562	36	3.04E-4	GM12878	hg19	231	6780134	6780350	160.78471	6780235
128441	chr1	6780134	6780350	7284889	7285093	42	0.010795	GM12878	hg19	231	6780134	6780350	160.78471	6780235
128440	chr1	6780134	6780350	7130452	7130802	71	0.0	GM12878	hg19	231	6780134	6780350	160.78471	6780235
128445	chr1	6787612	6787817	6950057	6950192	97	2.0E-6	GM12878	hg19	232	6787612	6787817	190.41945	6787715
128445	chr1	6787612	6787817	6950057	6950192	97	2.0E-6	GM12878	hg19	236	6950057	6950192	167.8159	6950135
128488	chr1	7102784	7103134	7707393	7707562	64	0.0	GM12878	hg19	237	7102784	7103134	83.669365	7102962
128440	chr1	6780134	6780350	7130452	7130802	71	0.0	GM12878	hg19	238	7130452	7130802	209.58655	7130645
128441	chr1	6780134	6780350	7284889	7285093	42	0.010795	GM12878	hg19	242	7284889	7285093	29.824566	7284991
